Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Sectors for Entities as a filter
Əlimətov Abdul Azad oğlu,✅,❌,❌,❌,❌,❌,O
Əlimətov Əfsun Əlimət oğlu,✅,✅,❌,❌,✅,❌,O
Əliyev Edqar Eldar oğlu,❌,✅,❌,❌,✅,✅,O
Əliyev Fikrət Qəzənfər oğlu,✅,❌,❌,❌,❌,❌,O
Əliyev Sərxan Elqar oğlu,✅,❌,❌,❌,❌,❌,O
Əliyev İntiqam Abazər oğlu,❌,❌,❌,✅,❌,❌,O
Ələkbərov Elnur Adil oğlu,❌,❌,❌,✅,❌,❌,O
Ələkbərov Ramin Çingiz oölu,✅,❌,❌,❌,❌,❌,O
Ələsgərli Adəm Xatəm oğlu,❌,❌,❌,✅,❌,❌,O
Əmirbəyov Ramin Vüqar oğlu,✅,❌,❌,❌,❌,❌,O
Əmirmətov Elxan Şirinbala oğlu,❌,❌,❌,✅,❌,❌,O
Əmirxanov Elşən Zakir oğlu,✅,❌,❌,❌,❌,❌,O
Əmirxanov Yaşar Zakir oğlu,✅,❌,❌,❌,❌,❌,O
Əsgərov Rüstəm Musa oğlu,✅,❌,❌,❌,❌,❌,O
Əsgərov Saqi Ağahüseyn oğlu,✅,❌,❌,❌,✅,❌,O
Əsədov Elşən Əlisahib oğlu,✅,❌,❌,❌,❌,❌,O
Abbas Gholamshahi,❌,✅,❌,❌,❌,✅,O
Abbas Hassan Gharib,✅,❌,❌,❌,✅,❌,O
Abd Al-Latif bin Abdullah Al-Kawari,✅,❌,❌,❌,❌,❌,O
Abd al-Malilk Muhammad Yusuf Abd Al-Salam,✅,❌,❌,❌,❌,❌,O
Abd al-Rahman bin ‘Umayr Al-Nu’aymi,✅,❌,❌,❌,❌,❌,O
Abd al-Wahhab Muhammad Abd al-Rahman Al-Humayqani,✅,❌,❌,❌,❌,❌,O
Abd-al-Rahman 'Ali Husayn al-Ahmad Al-Rawi,❌,❌,❌,✅,✅,❌,O
Abdul Aziz,✅,❌,❌,❌,❌,❌,O
Abdul Rahim Manan,✅,❌,❌,❌,❌,❌,O
Abdul Reza Shahlai,✅,❌,❌,❌,❌,❌,O
Abdulaziz bin Khalifa Al-Attiya,❌,✅,❌,✅,✅,❌,O
Abdulhakim Balhaj,✅,❌,❌,❌,❌,❌,O
Abdullah Azzam Brigades,❌,❌,✅,❌,❌,❌,O
Abdullah Ghanim Muslim Al-Khawar,❌,❌,❌,✅,✅,❌,O
Abdullah Mohammed Ali Al-Yazidi,❌,✅,❌,❌,✅,✅,O
Abdullah Mohammed Sulaiman Al-Muhaisni,❌,❌,❌,✅,✅,❌,O
Abdullah Samad Faroqui,✅,✅,✅,✅,✅,✅,O
Abdullah bin Khalid Al Thani,✅,❌,❌,❌,✅,❌,O
Abdulmajed,✅,❌,❌,❌,❌,❌,O
Abdulrahim Ahmed Al-Haram,✅,❌,❌,❌,❌,❌,O
Abdulrahman Mohammed Shukri Abdulrahman,✅,❌,❌,❌,✅,✅,O
Abdulwahab Mohammed Abdulwahab Al-Humaiqani,✅,❌,❌,❌,❌,❌,O
Abu Sayyaf Group,✅,❌,❌,❌,❌,❌,O
Adel Abdu Fari Othman Al-Thahbani,✅,❌,❌,❌,❌,❌,O
Adham Tabaja,✅,❌,❌,❌,❌,❌,O
Adnan Hussein Kawtharani,✅,❌,❌,❌,❌,❌,O
Africo 1 Off-Shore SAL,❌,✅,❌,✅,✅,✅,O
Ahmad Mohamad Yazbeck,✅,❌,❌,❌,❌,❌,O
Ahmed Abdulhafhid Mahmood Abdulhuda,❌,❌,❌,✅,✅,❌,O
Ahmed Abduljalil Hasnawi,❌,❌,❌,✅,✅,❌,O
Ahmed Al-Hasan Al-Da’saki,❌,❌,❌,✅,❌,❌,O
Ahmed Ali Ahmed Barood,✅,❌,❌,❌,❌,❌,O
Ahmed Fuad Ahmed Jad Baltaji,❌,✅,✅,✅,✅,❌,O
Ahmed Rajab Rajab Sulaiman,✅,❌,❌,❌,❌,❌,O
Al Fay Company,❌,✅,✅,✅,❌,❌,O
Al Furqan,✅,❌,❌,❌,❌,❌,O
Al Ihsan Charitable Society,❌,❌,❌,❌,✅,❌,O
Al Khair Supermarket,✅,❌,❌,❌,❌,❌,O
Al Mukhtar Bridges,✅,❌,❌,❌,❌,❌,O
Al Qaeda,✅,❌,❌,❌,❌,❌,O
Al Rashid Trust,❌,❌,❌,❌,✅,❌,O
Al-Akhtar Trust International,✅,❌,❌,❌,❌,❌,O
Al-Ashtar Brigades,✅,❌,❌,❌,❌,❌,O
Al-Balagh Charitable Foundation,✅,❌,❌,❌,❌,❌,O
Al-Haram Exchange Company,✅,❌,❌,❌,❌,❌,O
Al-Haramain Foundation,✅,❌,❌,❌,❌,❌,O
Al-Ihsan Charitable Society,✅,❌,❌,❌,❌,❌,O
Al-Inma Group,✅,❌,❌,❌,❌,❌,O
Al-Inmaa Engineering and Contracting,✅,❌,❌,❌,❌,❌,O
Al-Khalidi Exchange,✅,❌,❌,❌,❌,❌,O
Al-Mahdi Harati,✅,❌,❌,❌,❌,❌,O
Al-Mulathamun Battalion,✅,❌,❌,❌,❌,❌,O
Al-Murabitun,✅,❌,❌,❌,❌,❌,O
Al-Nasra Front (Syria,✅,❌,❌,❌,❌,❌,O
Al-Qaeda in the Arabian Peninsula,✅,❌,❌,❌,❌,❌,O
Al-Qaeda in the Islamic Maghreb,✅,❌,❌,❌,❌,❌,O
Al-Saa’di Abdullah Ibrahim Bu Khuzaim,✅,❌,❌,❌,❌,❌,O
Al-Sadiq Abdulrahman Ali A-Gharyani,✅,❌,❌,❌,❌,❌,O
Al-Saraya Media Center,✅,❌,❌,❌,❌,❌,O
Al-Sayed Mahmood Ghazzat Ibrahim Isa,✅,❌,❌,❌,❌,❌,O
Alaa Khanfurah,❌,❌,❌,✅,✅,❌,O
Ala’a Ali Ali Mohammed Al-Samahi,✅,❌,❌,❌,❌,❌,O
Ali Hasan Ibrahim Abduldahir,✅,❌,❌,❌,❌,❌,O
Ali Mohammed Mohammed Al-Salabi,✅,❌,❌,❌,❌,❌,O
Ali Mussa Daqduq,✅,❌,❌,❌,❌,❌,O
Ali Ozma’l,✅,❌,❌,❌,❌,❌,O
Ali Qasir,✅,❌,❌,❌,❌,❌,O
Ali Youssef Charara,✅,❌,❌,❌,❌,❌,O
Ali Zaki Mohammed Ali,✅,❌,❌,❌,❌,❌,O
Ali bin Abdullah Al-Sowaidi,✅,❌,❌,❌,❌,❌,O
Alireza Atabaki,✅,❌,❌,❌,❌,❌,O
Alumix,✅,❌,❌,❌,❌,❌,O
Amru Abdulnasser Abdulhaq Abdulbari,✅,❌,❌,❌,❌,❌,O
Andisheh Mehvaran Investment Company,✅,❌,❌,❌,❌,❌,O
Ansar Al-Shari'a in Tunisia,✅,❌,❌,❌,❌,❌,O
Ansar Al-Shari’a in Benghazi,✅,❌,❌,❌,❌,❌,O
Ansar Al-Shari’a in Darnah,✅,❌,❌,❌,❌,❌,O
Ansar Bank Brokerage Company,✅,❌,❌,❌,❌,❌,O
Ansar Dine,✅,❌,❌,❌,❌,❌,O
Ansar Exchange,✅,❌,❌,❌,❌,❌,O
Ansar al-Islam fi Kurdistan,✅,❌,❌,❌,❌,❌,O
Armed Islamic Group,✅,❌,❌,❌,❌,❌,O
Army of Mohammed,✅,❌,❌,❌,❌,❌,O
Ashraf Muhammad Yusuf ‘Uthman ‘Abd Al-Salam,✅,❌,❌,❌,❌,❌,O
Assim Abdulmajid Mohammed Madhi,✅,✅,❌,✅,✅,✅,O
Atlas Exchange,✅,❌,❌,❌,❌,❌,O
Ayatollah Ebrahimi,✅,❌,❌,❌,❌,❌,O
Ayman Ahmed Abdulghani Hasanain,✅,❌,❌,❌,❌,❌,O
Ayman Mahmood Sadiq Rifa’at,✅,❌,❌,❌,✅,❌,O
Bahman Group,✅,❌,❌,❌,❌,❌,O
Bahrain Freedom Movement,✅,✅,❌,❌,❌,❌,O
Bahraini Hezbollah,✅,❌,❌,❌,❌,❌,O
Bandar Abbas Zinc Production Company,✅,❌,❌,❌,❌,❌,O
Bank Mellat,✅,❌,❌,❌,❌,❌,O
Bank Sina,✅,❌,✅,✅,❌,❌,O
Basij Resistance Force,✅,❌,❌,❌,❌,❌,O
Behnam Shahriyari,✅,❌,❌,❌,❌,❌,O
Benghazi Defense Brigades,✅,❌,❌,❌,❌,❌,O
Benghazi Revolutionaries Shura Council,✅,❌,❌,❌,❌,❌,O
Bilal Ali Muhammad Al-Wafi,✅,❌,❌,❌,❌,❌,O
Boko Haram,✅,❌,❌,❌,❌,❌,O
Bonyad Taavon Basij,✅,❌,❌,❌,❌,❌,O
Boshra News Agency,✅,❌,❌,❌,❌,❌,O
Calcimin,✅,❌,❌,❌,❌,❌,O
Caucasus Emirate,✅,❌,❌,❌,❌,❌,O
DELICE,✅,❌,❌,❌,❌,❌,O
DESTINY,✅,❌,❌,❌,❌,❌,O
Doha Apple Company,✅,❌,❌,❌,❌,❌,O
Eastern Turkistan Islamic Movement,✅,❌,❌,❌,❌,❌,O
Egyptian Islamic Jihad,✅,❌,❌,❌,✅,❌,O
Esfahan's Mobarakeh Steel Company,✅,❌,❌,❌,❌,❌,O
Esma’il Gha’ani,✅,❌,❌,❌,❌,❌,O
Esma’il Razavi,✅,❌,❌,❌,✅,❌,O
Ezzat Youssef Akar,✅,❌,❌,❌,❌,❌,O
February 14 Youth Coalition,✅,❌,❌,❌,❌,❌,O
"Global Relief Foundation, Inc.",❌,❌,❌,✅,❌,❌,O
Group Protectors of Salafist Preaching,✅,❌,❌,❌,❌,❌,O
HAPPINESS 1,❌,❌,❌,✅,❌,❌,O
Hajjaj bin Fahd Hajjaj Muhammed Al Ajmi,✅,❌,❌,❌,❌,❌,O
Hakim Obaisan Al-Hameedi Al-Mutairi,❌,✅,✅,✅,✅,✅,O
Hamad Abdullah Al-Futais Al-Marri,✅,❌,❌,❌,❌,❌,O
Hamid Abdullah Ahmad Al-Ali,❌,✅,✅,✅,❌,❌,O
Hamid Abdullahi,✅,❌,❌,❌,❌,❌,O
Hamid Hamad Hamid Al-‘Ali,✅,❌,❌,❌,✅,✅,O
Hamrahan Pishro Tejarat Trading Company,✅,❌,❌,❌,❌,❌,O
Harakat Ul-Jihad-I-Islami,❌,❌,❌,✅,✅,❌,O
Harkat-ul-Mujahideen,❌,❌,❌,✅,✅,❌,O
Hasan Ahmed Hasan Mohammed Al-Daqqi Al-Hoti,✅,❌,❌,❌,❌,❌,O
Hasan Ali Mohammed Juma Sultan,✅,✅,❌,❌,❌,✅,O
Hasan Chehadeh Othman,✅,❌,❌,❌,❌,❌,O
Hasan Ibrahimi,✅,❌,❌,❌,❌,❌,O
Hashem Safieddine,✅,❌,❌,❌,❌,❌,O
Hashim Muhsin Aydrus,✅,❌,❌,❌,✅,❌,O
Hashim Saleh Abdullah Al-Awadhi,✅,❌,❌,❌,❌,❌,O
Hassan Nasrallah,✅,❌,❌,❌,❌,❌,O
Hezbollah,✅,❌,❌,✅,✅,✅,O
Hilal Ahmar Society Indonesia,✅,❌,❌,❌,❌,❌,O
Hokoul S.A.L. Offshore,✅,❌,❌,❌,❌,❌,O
Husayn Al-Khalil,✅,❌,❌,❌,❌,❌,O
Hussain Mohammed Redha Ibrahim Yusuf,✅,❌,❌,❌,❌,❌,O
Ibrahim Ali Daher,✅,❌,❌,❌,❌,❌,O
Ibrahim Amin Al-Sayyid,✅,❌,❌,❌,❌,❌,O
Ibrahim ‘Isa Hajji Muhammad Al-Bakr,✅,❌,❌,❌,❌,❌,O
Idris Ali Awad al-Fay,✅,❌,❌,❌,❌,❌,O
International Islamic Council,✅,❌,❌,❌,❌,❌,O
International Union of Muslim Scholars,✅,❌,❌,❌,❌,❌,O
Iran Tractor Manufacturing Company,✅,❌,❌,❌,❌,❌,O
Iran Zinc Mines Development Company,✅,✅,❌,❌,❌,❌,O
Iranian Revolutionary Guard – Quds Force – IRGC-GF,✅,❌,❌,❌,❌,❌,O
Islamic Army of Aden,✅,❌,❌,❌,❌,❌,O
Islamic International Brigade,✅,❌,❌,❌,❌,❌,O
Islamic Jihad Group – united with Islamic Movement of Uzbekistan,✅,❌,❌,✅,❌,❌,O
Islamic Movement of Uzbekistan,✅,❌,❌,❌,❌,❌,O
Islamic Revolutionary Guard Corps,✅,❌,❌,❌,❌,❌,O
Islamic State of Iraq and the Levant,✅,❌,❌,❌,❌,❌,O
Islamic Union,✅,❌,❌,❌,❌,❌,O
Ismael Mohammed Mohammed Al-Salabi,✅,❌,❌,❌,❌,❌,O
JASMINE,✅,❌,❌,❌,❌,❌,O
Jabir bin Nasser Al-Marri,✅,❌,❌,❌,❌,❌,O
Jaish al-Muhajireen wal-Ansar,✅,❌,❌,❌,❌,❌,O
Jam'at Al Tawhid Wa'al-Jihad in West Africa,✅,❌,❌,❌,❌,❌,O
Jama’at Al-Muslimin Fi Bilad Al-Sudan,✅,❌,❌,❌,❌,❌,O
Jamā'at Ahl as-Sunnah lid-Da'wah wa'l-Jihād,✅,❌,❌,❌,❌,❌,O
Jawad Nasrallah,✅,❌,❌,❌,❌,❌,O
Jemaah Islamiyah,✅,✅,✅,✅,✅,✅,O
Jund Al-Khilafa,✅,❌,❌,❌,❌,❌,O
Kareem Mohammed Mohammed Abdulaziz,✅,❌,❌,❌,❌,❌,O
Khalid Abdullah Salah Al-Marfadi,✅,❌,❌,❌,❌,❌,O
Khalid Nadhim Dayan,✅,❌,❌,❌,❌,❌,O
Khalid Saeed Fadhul Rashid Al-Buainain,✅,❌,❌,✅,❌,❌,O
Khalid Sa’id Ghabish Al-Ubaydi,✅,❌,❌,❌,❌,❌,O
Khalifa Muhammad Turki Al-Subaiy,✅,❌,❌,❌,✅,❌,O
Khalifa bin Mohammed Al-Rabban,✅,✅,❌,❌,✅,✅,O
Kish P&I Club,✅,❌,❌,❌,❌,❌,O
Lashkar I Jhangvi,✅,❌,❌,❌,❌,❌,O
Lashkar-E Tayyiba,✅,❌,❌,✅,✅,❌,O
Libyan Islamic Fighting Group,❌,❌,❌,❌,✅,❌,O
Maher Trading,❌,✅,❌,✅,✅,✅,O
Mahmud Ashtari,❌,❌,❌,❌,✅,❌,O
Manabea Tharwat Al-Janoob General Trading Company,✅,❌,❌,❌,❌,❌,O
Mansur Ravankar,✅,❌,❌,❌,❌,❌,O
Maysar Ali Musa Abdullah Al-Juburi,✅,❌,❌,❌,❌,❌,O
Mehr Eqtesad Bank,❌,❌,❌,✅,❌,❌,O
Mehr Eqtesad Financial Group,❌,❌,❌,✅,✅,❌,O
Mehr Eqtesad Iranian Investment Company,✅,❌,❌,❌,❌,❌,O
Mohammad Hejazi,✅,❌,❌,❌,❌,❌,O
Mohammadreza Ali Akbari,✅,❌,❌,❌,❌,❌,O
Mohammed Abdulmaqsood Mohammed Afifi,✅,❌,❌,❌,❌,❌,O
Mohammed Ahmed Shawqi Al-Islambouli,✅,✅,❌,✅,✅,✅,O
Mohammed Al-Saghir Abdulrahim Mohammed,✅,❌,❌,❌,❌,❌,O
Mohammed Ali Saeed Atam,✅,❌,❌,❌,❌,❌,O
Mohammed Baker Al-Daba’,✅,✅,✅,✅,✅,✅,O
Mohammed Dawood Muzamil,✅,❌,❌,❌,✅,❌,O
Mohammed Ebrahim Owhadi,❌,❌,❌,✅,✅,❌,O
Mohammed Hamada Al-Sayed Ibrahim,✅,❌,❌,❌,❌,❌,O
Mohammed Jamal Ahmed Hishmat Abdulhameed,❌,❌,❌,❌,✅,❌,O
Mohammed Jassim Al-Sulaiti,❌,❌,❌,❌,✅,❌,O
Mohammed Muharram Fahmi Abo Zaid,✅,✅,✅,✅,✅,✅,O
Mohammed Naeem Bareesh,❌,❌,❌,✅,✅,❌,O
Mohammed Saad Abdulmutalib Abdu Al-Razqi,❌,❌,✅,✅,✅,❌,O
Mohammed Saad Abdulnaeem Ahmed,✅,❌,❌,❌,❌,❌,O
Mohammed Saeed bin Hilwan Al-Saqatri,✅,✅,✅,✅,✅,✅,O
Mohammed Sulaiman Haydar Mohammed Al-Haydar,❌,✅,❌,✅,✅,❌,O
Moroccan Islamic Fighting Group,❌,❌,❌,❌,✅,❌,O
Morteza Qasemi,❌,❌,❌,❌,✅,❌,O
Mostafa Habib Harb,✅,❌,❌,❌,❌,❌,O
Mubarak Mohammed Al-Ajji,✅,❌,❌,❌,❌,❌,O
Muhammad 'Abd-Al-Hadi Farhat,❌,✅,✅,✅,✅,✅,O
Muhammad Jafar Qasir,✅,❌,❌,❌,❌,❌,O
Muhammad Jamal Group,✅,❌,❌,❌,❌,❌,O
Muhammad Qasim al-Bazzal,❌,❌,❌,❌,✅,❌,O
Muhammad Qasim al-Bazzal,❌,❌,✅,❌,✅,✅,O
Muhammad Qasir,❌,❌,❌,❌,✅,✅,O
Muhammad Yazbak,✅,❌,❌,❌,❌,❌,O
Mujahidin Indonesia Timor,✅,❌,❌,❌,❌,❌,O
Munir Ali Naim Shaitu,✅,❌,❌,❌,❌,❌,O
Murtadha Majeed Al-Sindi,✅,❌,❌,❌,❌,❌,O
Muslim Fuad Tarfan,✅,❌,❌,❌,❌,❌,O
Nabaa TV,✅,❌,❌,❌,❌,❌,O
Nagham Al Hayat,✅,❌,❌,❌,❌,❌,O
Naim Qassim,✅,❌,❌,❌,❌,❌,O
Naji Ibrahim Al-Azouli,✅,❌,❌,❌,❌,❌,O
Nashwan Al-Adani,✅,❌,❌,❌,❌,❌,O
Nashwan al-Wali Al-Yafi’i,✅,❌,❌,❌,❌,❌,O
Nayef Salih Salim Al-Qaisi,✅,❌,❌,❌,❌,❌,O
"Negin Sahel Royal Investment Company
  الملكية)",✅,❌,❌,❌,❌,❌,O
Nejaat Social Welfare Organization,✅,❌,❌,❌,❌,❌,O
Organization of Islamic Cooperation,✅,❌,❌,❌,❌,❌,O
Osbat al-Ansar,✅,❌,❌,❌,❌,❌,O
Parsian Bank,✅,❌,❌,❌,❌,❌,O
Parsian Catalyst Chemical Company,✅,❌,❌,❌,❌,❌,O
Qadri Mohammed Fahmi Mahmood Al-Shaikh,✅,❌,❌,❌,❌,❌,O
Qasem Soleimani,✅,❌,❌,❌,❌,❌,O
Qassim Abdullah Ali,✅,❌,❌,❌,❌,❌,O
Qatar Charity,✅,❌,❌,❌,❌,❌,O
Qatar Volunteer Center,✅,❌,❌,❌,❌,❌,O
Qeshm Zinc Smelting And Reduction Company,✅,❌,❌,❌,❌,❌,O
RECONSTRUCTION OF THE MUSLIM UMMAH,✅,❌,✅,❌,❌,❌,O
Rabita Trust,✅,❌,❌,❌,❌,❌,O
Radwan Qanan,✅,❌,❌,❌,❌,❌,O
Rafallah Sahati Brigade,✅,❌,❌,❌,❌,❌,O
Rahma Charitable Organization,✅,❌,❌,❌,✅,❌,O
Rahma Charitable Organization,✅,❌,❌,❌,❌,❌,O
Rajah Solaiman Movement,✅,❌,❌,❌,❌,❌,O
Ramezan Zirahi,✅,❌,❌,❌,❌,❌,O
Revival of Islamic heritage,✅,❌,❌,❌,❌,❌,O
Rostam Qasemi,✅,❌,❌,❌,❌,❌,O
SINOPA,✅,❌,❌,❌,❌,❌,O
Sadr Ibrahim,✅,❌,❌,❌,❌,❌,O
Saifulrab Salim Al-Heeshi,✅,❌,❌,❌,❌,❌,O
Saleh Ahmed Al-Ghanim,✅,❌,❌,❌,❌,❌,O
Salim Hassan Khalifa Rashid Al-Kuwari,✅,❌,❌,❌,❌,❌,O
Salim Jabir Omar Ali Sultan Fath-Allah Jabir,✅,❌,❌,❌,❌,❌,O
Sayed Habib Ahmad Khan,✅,❌,❌,❌,❌,❌,O
Sa’d bin Sa’d Muhammad Al-Ka’bi,✅,❌,❌,❌,❌,❌,O
Services Centre,✅,❌,❌,❌,❌,❌,O
Shagar Juma Khamis Al-Shahwani,✅,❌,❌,❌,❌,❌,O
Shahata Fat’hi Hafid Mohammed Sulaiman,✅,❌,❌,❌,❌,❌,O
Sham Al-Islam Movement,✅,❌,❌,❌,❌,❌,O
Shamsollah Asadi,✅,❌,❌,❌,❌,❌,O
Sheikh Eid Bin Mohammad Al Thani Charitable Association,✅,❌,❌,❌,❌,❌,O
Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,✅,❌,❌,❌,❌,❌,O
Shibl Muhsin Al-Zaydi,✅,❌,❌,❌,❌,❌,O
Signers in Blood,✅,❌,❌,❌,❌,❌,O
Tadbirgaran Atiyeh Investment Company,✅,❌,❌,❌,❌,❌,O
Taibah International,✅,❌,❌,❌,❌,❌,O
"Taif Mining Services, LLC",❌,✅,✅,✅,✅,✅,O
Taktar Investment Company,❌,✅,❌,✅,✅,✅,O
Talal Hamya,✅,❌,❌,❌,✅,❌,O
Talaqi Group,✅,❌,❌,❌,❌,❌,O
"Tanasuh Foundation for Dawa, Culture and Media",✅,✅,✅,✅,✅,✅,O
Tangsiri Ali Reza,✅,❌,❌,❌,❌,❌,O
Tariq Abdulmawjood Ibrahim Al-Zomr,✅,❌,❌,❌,❌,❌,O
Tawafuk,✅,❌,❌,❌,❌,❌,O
Tawasul Company,✅,❌,❌,❌,❌,❌,O
Technotar Engineering Company,✅,❌,❌,❌,❌,❌,O
Tehrik-i-Taliban Pakistan / Pakistani Taliban,✅,❌,❌,❌,❌,❌,O
The Afghan Support Committee,❌,❌,❌,❌,✅,❌,O
The Islamic Jihad Battalion,✅,❌,❌,❌,❌,❌,O
The Popular Resistance Brigades,✅,❌,❌,❌,❌,❌,O
The Riyadus-Salikhin Martyrs,✅,❌,❌,❌,❌,❌,O
The SPECTRUM Group,❌,❌,❌,❌,✅,❌,O
The Tunisian Combatant Group,✅,❌,❌,❌,❌,❌,O
The Wafa Humanitarian Organization,❌,❌,❌,✅,❌,❌,O
Unshrot Tawhid,✅,❌,❌,❌,❌,❌,O
Wahid Mahmud Subayti,✅,❌,❌,❌,❌,❌,O
Wajdi Abdulhameed Mohammed Ghaneem,✅,❌,❌,❌,❌,❌,O
Yadollah Badin,✅,❌,❌,❌,❌,❌,O
Yahya Al-Sayed Ibrahim Mohammed Mousa,❌,❌,❌,✅,❌,❌,O
Yahya Aqeel Salman Aqeel,❌,❌,❌,✅,❌,❌,O
Yusuf Abdullah Al-Qaradawi,❌,❌,❌,✅,✅,❌,O
Yusuf Hashim,✅,❌,❌,✅,✅,❌,O
Zanjan Acid Production Company,✅,❌,❌,❌,❌,❌,O
brahim Ali Awad al-Fay,❌,✅,❌,❌,❌,✅,O
Allahr Dol,✅,❌,❌,❌,❌,❌,O
Ansar-Al-Islam,✅,❌,❌,❌,❌,❌,O
Ansarullah Bangla Team,❌,❌,❌,❌,❌,✅,O
Harkatul Jihad Al Islami,❌,❌,❌,❌,✅,❌,O
Hizbut Tahrir Bangladesh,✅,❌,❌,❌,❌,❌,O
Jagroto Muslim Janata Bangladesh,❌,❌,❌,✅,❌,❌,O
Jamatul Mujahidin,❌,✅,✅,✅,❌,❌,O
Shahadat‐E‐Al Hikma Party Bangladesh,❌,❌,❌,✅,❌,❌,O
ABAAOUD Younesse,✅,❌,❌,❌,❌,❌,O
ABOUALLAL Noureddine,✅,❌,❌,❌,❌,❌,O
ABRAÏMI Nour-Eddine,✅,❌,❌,❌,❌,❌,O
ABRINI Mohamed,✅,❌,❌,❌,❌,❌,O
ABRINI Soulaimane,✅,❌,❌,❌,❌,❌,O
ABUDULA Abuduaini,✅,❌,❌,❌,❌,❌,O
AFRA Abed,❌,❌,❌,✅,❌,❌,O
AHARCHI Kamal Eddine,✅,❌,❌,❌,❌,❌,O
AHJIT Moustafa,✅,❌,❌,❌,❌,❌,O
AHLLAL Younès,❌,❌,❌,❌,❌,✅,O
AHMED Sahil,✅,❌,❌,❌,❌,❌,O
AIBIBAIMU Abudushalamu,❌,❌,❌,❌,✅,✅,O
AKDIM Redouan,✅,❌,❌,❌,✅,✅,O
AKHAYAT Souad,✅,❌,❌,❌,❌,❌,O
AL AROUB Mohammed,❌,❌,❌,✅,❌,❌,O
AL BOUZIDI Naïma,✅,✅,❌,❌,❌,❌,O
AL MARCHOHI Bilal,✅,❌,❌,❌,❌,❌,O
AL MIMOUNI Meriame,✅,❌,❌,❌,❌,❌,O
ALITOUCHE Abdelaaziz,✅,❌,❌,❌,✅,❌,O
ALLALI Abdelwakil,✅,❌,❌,❌,❌,❌,O
AM-MI Boubaker,✅,❌,❌,❌,❌,❌,O
AM-MI Houdaïfa,✅,❌,❌,❌,❌,❌,O
AMECHMECH Mehdi,✅,❌,❌,❌,❌,❌,O
AMECHMECH Zohra,✅,❌,❌,❌,❌,❌,O
AMGROUD Ismail,✅,❌,❌,❌,❌,❌,O
AOUMEUR Lofti,✅,❌,❌,❌,❌,❌,O
ASAMGHI Fahd,✅,❌,❌,❌,❌,❌,O
ASBAI Zakaria,✅,❌,❌,❌,❌,❌,O
ATAR Oussama,✅,❌,❌,❌,❌,❌,O
ATID Mehdi,✅,❌,❌,❌,❌,❌,O
AZAHAF Nabil,✅,❌,❌,❌,❌,❌,O
AZAOUAJ Iliass,✅,❌,❌,❌,❌,❌,O
AZZAOUI Yacine,✅,❌,❌,❌,❌,❌,O
AZZOUZI Nasser,❌,❌,❌,✅,❌,❌,O
BAGHOURI Brahim,❌,❌,❌,✅,❌,❌,O
BAKKOUY Ismail,✅,❌,❌,❌,❌,❌,O
BAKKOUY Mohamed,❌,❌,❌,✅,❌,❌,O
BAKKOUY Younes,✅,❌,❌,❌,❌,❌,O
BAKLOUTI Zayd,✅,❌,❌,❌,❌,❌,O
BALI Abdelaziz,✅,❌,❌,❌,❌,❌,O
BALI Brahim,❌,❌,❌,✅,❌,❌,O
BALI Khalid,❌,❌,❌,✅,✅,❌,O
BALI Mohamed,❌,❌,❌,✅,✅,❌,O
BARRANI Bilal,❌,❌,❌,✅,❌,❌,O
BAZAANI Hamza,❌,❌,❌,✅,❌,❌,O
BAZAANI Yassin,✅,❌,❌,❌,❌,❌,O
BAZAROUJ Bilal,✅,❌,❌,❌,❌,❌,O
BAZAROUJ Fatima,❌,❌,❌,✅,❌,❌,O
BAZAROUJ Ibrahim,❌,✅,❌,✅,❌,❌,O
BAZAROUJ Youssef,❌,❌,❌,✅,✅,❌,O
BELHADJ Mohamed,✅,❌,❌,❌,✅,❌,O
BELKACEM Omar,❌,❌,❌,✅,❌,❌,O
BEN ALEYA Fabrice Karim,✅,❌,❌,❌,❌,❌,O
BEN AMOR Adem,❌,❌,❌,✅,❌,❌,O
BENSELLAM Ali,✅,❌,❌,❌,❌,❌,O
BENZIDANE Mounir,✅,❌,❌,❌,✅,❌,O
BIOUI Kaoutar,❌,❌,❌,✅,✅,❌,O
BIZALA LUBANZA Andy,✅,❌,❌,❌,❌,❌,O
BODART Cassandra,✅,❌,❌,❌,❌,❌,O
BOENS Johan Castillo,✅,❌,❌,❌,✅,❌,O
BORCHASHVILI Islam Vazhaevitch,❌,✅,❌,❌,❌,✅,O
BOTACHBAQUT Mohamed,✅,❌,❌,❌,❌,❌,O
BOUAMLAT Fayçal,✅,❌,❌,❌,❌,❌,O
BOUDASIS Mohamed,✅,❌,❌,❌,❌,❌,O
BOUGHALAB Ilyass,✅,❌,❌,❌,❌,❌,O
BOUHALI ZRIOUIL Fouâd,✅,❌,❌,❌,❌,❌,O
BOUIT Bilal,✅,❌,❌,❌,❌,❌,O
BOUJEMÂOUI Nasser,✅,❌,❌,❌,❌,❌,O
BOUKEBBOUS Nacera,✅,❌,❌,❌,❌,❌,O
BOULHIR Abdelaziz,✅,❌,❌,❌,❌,❌,O
BOUNJA Samir,✅,❌,❌,❌,❌,❌,O
BOUTALLISS Abdelmalek,❌,❌,❌,❌,✅,❌,O
BOUZZAOUIT Anis,❌,❌,✅,❌,❌,❌,O
CALEBOUT Olivier,✅,❌,❌,❌,❌,❌,O
