Sanctioned Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Japan,Type,Sanctions Lists,Notes,
M Finans,✅,❌,❌,❌,❌,❌,❌,Entity,,,
"M Invest, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
M Leasing Llc,✅,❌,❌,❌,❌,❌,❌,Entity,,,
M-iabu,✅,❌,❌,❌,❌,❌,❌,Aircraft,,,
M-saan,✅,❌,❌,❌,❌,❌,❌,Aircraft,,,
Madame Gu,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Magarach of the national institute of wine,✅,❌,✅,❌,✅,✅,❌,Entity,,,
Magdalina Marina Vladimirovna,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Magomed Farmanovich Magomedov,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Magomed Khozhakhmedovich Daudov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Maia-1,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
"Main Intelligence Directorate",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Maiya Nikolaevna Tokareva,✅,❌,❌,❌,❌,✅,✅,Individual,,,
"Majory Llp",✅,✅,❌,❌,❌,❌,❌,Entity,,,
"Makeyev State Missile Center",✅,✅,❌,❌,❌,❌,❌,Entity,,,
Maksim Aleksandrovich Svidchenko,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Maksim Alekseevich Platonenkov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Maksim Anatolyevich Uvarov,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Maksim Borisovich Krasovskiy,✅,✅,❌,❌,❌,✅,❌,Individual,,,
Maksim Gennadyevich Knish,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Maksim Iosifovich Krans,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Maksim Stanislavovich Oreshkin,❌,✅,✅,❌,❌,❌,❌,Individual,,,
Maksim Vladimirovich Vybornykh,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Maksim Yevgenyevich Ivanov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Maksut Igorevich Shadayev,❌,❌,❌,❌,✅,✅,❌,Individual,,,
Malberg Limited,✅,❌,❌,❌,❌,❌,❌,Entity,,,
"Malorossiski Elevator, Oao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Maltarent Ltd,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Management Company of the Russian Direct Investment Fund,✅,❌,❌,❌,✅,✅,❌,Entity,,,
Management Company Promsvyaz Llc,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Management Company Tatneft-Neftekhim LLC,❌,❌,✅,✅,❌,❌,❌,Entity,,,
Maples Sa,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Marat Abdulhaevich Nuriev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Marat Faatovich Bashirov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Marat Khusnullin,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Marat Shakirzyanovich Khusnullin,❌,❌,❌,❌,❌,✅,❌,Individual,,,
Margarita Nikolayevna Pavlova,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Margarita Simonyan,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Maria Aleksandrovna Lavrova,✅,✅,❌,❌,✅,❌,✅,Individual,,,
Maria Alekseevna Lvova-belova,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Maria E,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Maria Igorevna Shuvalova,✅,✅,❌,❌,✅,✅,✅,Individual,,,
Maria Nikolayevna Prusakova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Maria Valeryevna Butina,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Maria Viktorovna Bogatova,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Maria Viktorovna Vasilkova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Maria Vladimirovna Drobot,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Maria Vladimirovna Kitayeva,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Maria Vladimirovna Pirogova,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Maria Vladimirovna Vorontsova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Marina Alexandrovna Mordashova,✅,❌,✅,✅,❌,❌,❌,Individual,,,
Marina Eduardovna Orgeyeva,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Marina Nikolaevna Zheynova,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Marina Vladimirovna Sechina,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Marine Scientific Research Institute of Radioelectronics “Altair” (MNIIRE “Altair”),✅,❌,❌,❌,✅,❌,❌,Entity,,,
Maritime Assistance Llc,✅,❌,❌,✅,❌,❌,❌,Entity,,,
Mariya Gennadevna Ermakova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Mariya Vasilyevna Koleda,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Mariya Vladimirovna Zakharova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mariyskiy Machine-Building Plant Open Joint Stock Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Marlin,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Marshal Zhukov,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Marshall Capital Fund,✅,❌,❌,❌,✅,❌,❌,Entity,,,
Mashinostroitel Perm Factory,✅,❌,❌,❌,✅,❌,❌,Entity,,,
Matthias Warnig,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Maxim Alekseevich Parshin,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Maxim Alekseevich Protasov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Maxim Alexeyevich Gulin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Maxim Anatolyevich Ivanov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Maxim Anatolyevich Topilin,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Maxim Borisovich Egorov,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Maxim Dmitrievich Kondratenko,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Maxim Gennadyevich Kavdzharadze,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Maxim Gennadyevich Reshetnikov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Maxim Vitalievich Korolyuk,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Maxim Vladimirovich Chernyshev,❌,❌,✅,✅,✅,❌,❌,Individual,,,
"Maya Nikolaevna Bolotova",❌,✅,✅,✅,✅,❌,❌,Individual,,,
Mcst Jsc,❌,✅,❌,✅,✅,❌,❌,Entity,,,
Media-invest Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Medni Musaevna Kadyrova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Mekhanik Brilin,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Mekhanik Kottsov,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Mekhanik Kraskovskiy,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Mekhanik Makarin,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Mekhanik Pustoshnyy,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Mekhanik Pyatlin,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Mekhanik Yartsev,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Melaniya Andreyevna Kondrakhina,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Meroe Gold Co. Ltd.,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Meteor Plant Jsc,✅,❌,❌,✅,❌,❌,❌,Entity,,,
"Mezhdunarodnaya Upravlyayushchaya Kompaniya, Ao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Mgi Pte Ltd,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Miass Machine-Building Factory,❌,❌,❌,✅,✅,❌,❌,Entity,,,
Michail Vasilevich Tarasenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Microelectronic Research and Development Center Novosibirsk,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Mihail Vasilevich Zheltyakov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Mihajlo Perencevic,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Mikam Holdings Limited,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Mikhail Albertovich Murashko,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Mikhail Aleksandrovich Dedov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Mikhail Aleksandrovich Leshchenko,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Mikhail Alekseevich Klishin,✅,✅,❌,❌,❌,✅,❌,Individual,,,
Mikhail Alekseyevich Plisyuk,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Mikhail Alexandrovich Afanasov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Mikhail Alexandrovich Babakov,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Mikhail Anatolievich Nazarov,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Mikhail Anatolyevich Rymar,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Mikhail Anatolyevich Sinelin,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Mikhail Avdeyev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Borisovich Seleznev,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Mikhail Borisovich Terentiev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Eduardovich Oseevsky,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Mikhail Efimovich Fradkov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Mikhail Evgenievich Mizintsev,❌,✅,❌,✅,✅,✅,❌,Individual,,,
Mikhail Evgenievich Putin,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Mikhail Gennadyevich Delyagin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Grigorievich Malyshev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Gutseriev,❌,❌,❌,❌,✅,✅,❌,Individual,,,
Mikhail Igorevich Poluboyarinov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Mikhail Ilich Yakushev,✅,❌,❌,❌,❌,✅,❌,Individual,,,
Mikhail Kiselyov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Mikhail Leonidovich Kislyakov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Leonidovich Rodikov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Mikhail Leonidovich Sereda,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Mikhail Lomonosov,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Mikhail Lvovich Kuchment,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Mikhail Lvovich Shelomov,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Mikhail Maratovich Fridman,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Mikhail Matveyev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Mikhailovich Khramov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Mikhail Mikhaylovich Zadornov,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Mikhail Nikolaevich Belousov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Mikhail Nikolaevich Kushakov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Nikolaevich Rosseev,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Mikhail Nikolayevich Berulava,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Mikhail Olegovich Avtukhov,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Mikhail Sergeyevich Kiselev,✅,❌,❌,❌,❌,❌,✅,Individual,,,
Mikhail Sergeyevich Potepkin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Mikhail Sergeyevich Sheremet,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Tolstykh,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Mikhail Valentinovich Kovalchuk,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Mikhail Valentinovich Romanov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Valerievich Zhukov,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Mikhail Vasilyevich Golubovich,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Mikhail Vasilyevich Klyukin,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Mikhail Viktorovich Shchapov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Vitalevich Margelov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Mikhail Vladimirovich Belousov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Mikhail Vladimirovich Degtyarev,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Mikhail Vladimirovich Kizeev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Vladimirovich Kuzmin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Vladimirovich Leontyev,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Mikhail Vladimirovich Mishustin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Vladimirovich Razvozhaev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Mikhail Vladimirovich Struk,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Mikhail Yevgenyevich Starshinov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mikhail Yurevich Alekseev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Milana Koroleva,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Milosh Eduardovich Vagner,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Ministry of Defence of the Russian,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Ministry of Finance of the Russian Federation,✅,❌,❌,❌,✅,✅,❌,Entity,,,
Ministry of State Security,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Minsk Wheel Tractor Plant,❌,✅,❌,❌,❌,✅,❌,Entity,,,
Mir Luganshchine,❌,❌,❌,❌,❌,✅,❌,Entity,,,
Miroslav Vladimirovich Rudenko,✅,✅,✅,✅,✅,✅,✅,Entity,,,
Miroslav Yureyevich Pogorelov,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Mitischinskii Machine-Building Plant OAO (MMZ),❌,❌,❌,❌,✅,❌,❌,Entity,,,
Mitishinskiy Scientific Research Institute of Radio Measuring Instruments,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Mmk Metalurji Sanayi Ticaret Ve Liman Isletmeciligi Anonim Sirketi,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Mobilnye Platezhi Limited Liability Company,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Modest Alexeyevich Kolerov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Mohammad Hossein Bagheri,❌,❌,✅,❌,❌,❌,❌,Individual,,,
Mohmad Isaevich Akhmadov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
"Molecular Electronics Research Institute, Joint Stock Company",✅,✅,❌,❌,❌,❌,❌,Entity,,,
"Molot-oruzhie, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Moscow Communications Research Institute JSC,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Moscow Institute of Physics and Technology,✅,✅,❌,✅,✅,❌,❌,Entity,,,
Moscow Order of the Red Banner of Labor Research Radio Engineering Institute JSC,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Mostafa Sarmadi,✅,❌,❌,❌,❌,❌,❌,Individual,,,
"Movement ""Novorossiya"" of Igor Strelkov",❌,✅,✅,✅,✅,✅,❌,Entity,,,
Mpi Volna,❌,✅,❌,✅,✅,❌,❌,Entity,,,
Mriya Resort & Spa,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Muhammad Al-salti,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Mukharbek Oybertovich Barakhoyev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Mukharby Magomedovich Ulbashev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Multicarta,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Multiclet Corporation,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Murad Gadzhiyev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Murat Khasanov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Murat Krym-Gerievich Khapsirokov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Murman,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Musa Vakhayev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Musa Yusupovich Bazhaev,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Muslim Barisovich Tatriev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Mustafa Alper Deniz,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Mykola Yanovych Azarov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Mykyta Ivanovich Samoilenko,✅,❌,❌,❌,✅,❌,❌,Individual,,,
"Mytishchinski Mashinostroitelny Zavod, Oao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Mz Mayak Oao,✅,❌,❌,❌,❌,❌,❌,Entity,,,
N. A. Dollezhal Order of Lenin Research and Design Institute of Power Engineering,❌,✅,❌,✅,✅,❌,❌,Entity,,,
Nabeul Al-abdullah,❌,✅,✅,✅,❌,❌,❌,Individual,,,
NabuLeaks,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Nadezhda Vasilyevna Shkolkina,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nadezhda Vitalyevna Lashkaryova,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Nadezhda Yuryevna Kovalenko,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Nadia Narimanovna Cherkasova,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Nagelfar Trade And Invest Limited,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Nailya Vagif Gizi Asker-zade,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Narodniy Soyuz (People's Union),❌,✅,✅,✅,✅,✅,✅,Entity,,,
Narval,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Natalia Evgenievna Mushnikova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Natalia Germanova Dirks,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Natalia Vasilyevna Kokoreva,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Natalia Vladimirovna Kosykhina,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Natalia Vladimirovna Poklonskaya,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nataliya Vladimirovna Poluyanova,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Natalja Dmitrijevna Tjekareva,❌,❌,✅,❌,❌,❌,❌,Individual,,,
Natalya Aleksandrovna Tyurina,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Natalya Alekseevna Polyanskaya,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Natalya Alekseyevna Orlova,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Natalya Alexandrovna Pashchenko,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Natalya Anatolevna Serdyukova,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Natalya Anatolyevna Pshenichnaya,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Natalya Andreevna Alymova,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Natalya Browning,✅,✅,❌,❌,✅,❌,✅,Individual,,,
Natalya Dmitrievna Chekareva,❌,✅,❌,✅,✅,❌,✅,Individual,,,
Natalya Georgievna Goncharova,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Natalya Ivanova Smirnova,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Natalya Ivanovna Bezruchenko,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Natalya Ivanovna Khorsheva,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Natalya Ivanovna Strelchuk,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Natalya Kostenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Natalya Markovna Volkova,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Natalya Mikhailovna Ivanishina,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Natalya Petrovna Skorokhodova,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Natalya V. Vinogradova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Natalya Valeryevna Popova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Natalya Vasilyevna Nazarova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Natalya Vladimirovna Beglova,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Natalya Vladimirovna Borisova,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Natalya Vladimirovna Gubareva,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Natalya Vladimirovna Sergun,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Natalya Vladimirovna Tikhosnkaya,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Natalya Vladislavovna Puzyrnikova,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Natalya Yurevna Nikonorova,✅,✅,✅,✅,✅,✅,✅,Individual,,,
"National Academic and Manufacturing Company Legion Co., Ltd.",❌,❌,❌,❌,❌,❌,✅,Entity,,,
National Media Group,❌,❌,❌,❌,✅,❌,❌,Entity,,,
National Settlement Depository (NSD),❌,❌,✅,✅,❌,❌,❌,Entity,,,
National Wealth Fund of the Russian Federation,✅,❌,❌,❌,✅,✅,❌,Entity,,,
Nda Nord-deutsche Industrieanlagenbau Gmbh,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Nefaz Publicly Traded Company,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Neft-aktiv Llc,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Nega,✅,❌,❌,❌,❌,❌,❌,Vessel,,,
Nekommercheskaya Organizatsiya Fond Khimicheskoe Razoruzhenie I Konversiya,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Nelli Akopovna Zadiraka,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Nerpa Shipyard,❌,❌,❌,✅,❌,❌,❌,Entity,,,
New Eastern Outlook,✅,✅,❌,❌,❌,✅,❌,Entity,,,
New Financial Technologies Ooo,✅,❌,❌,❌,❌,❌,❌,Entity,,,
NewsFront,✅,❌,❌,❌,❌,✅,❌,Entity,,,
Night Wolves,✅,❌,✅,✅,✅,❌,❌,Entity,,,
Nigina Zairova,❌,✅,❌,❌,❌,❌,❌,Individual,,,
"Niigazekonomika, Ooo",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Nikita Aleksandrovich Sobolev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Nikita Alekseyevich Mordashov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Nikita Dmitrievich Mazepin,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Nikita Melikov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Nikita Rumyantsev,✅,✅,✅,✅,✅,❌,✅,Individual,,,
Nikita Yuryevich Chaplin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolai Anatolevich Volobuev,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Nikolai Andreyevich Zhuravlev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Nikolai Fyodorovna Kondratyuk,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Nikolai Ivanovich Bulaev,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Nikolai Ivanovich Ryzhkov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Nikolai Mikhailovich Rogashchuk,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Nikolai Nikolaevich Alekseenko,❌,✅,✅,❌,✅,❌,✅,Individual,,,
Nikolai Nikolaevich Zabolotnev,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Nikolai Petrovich Semisotov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Nikolai Platonovich Patrushev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolai Vasilyevich Fyodorov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Nikolai Vladimirovich Levichev,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Nikolay Aleksandrovich Doluda,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Aleksandrovich Goncharov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Aleksandrovich Pankov,✅,✅,✅,❌,✅,✅,✅,Individual,,,
Nikolay Alexeyenko,✅,❌,❌,✅,❌,✅,❌,Individual,,,
Nikolay Anatolyevich Yevmenov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Dmitrievich Choulz,❌,❌,✅,❌,❌,❌,❌,Individual,,,
Nikolay Dmitrievich Peskov,✅,✅,❌,✅,✅,✅,✅,Individual,,,
Nikolay Gavrilovich Brykin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Grigorevich Tsed,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Ivanovich Bortsov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Ivanovich Bulayev,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Nikolay Ivanovich Kozitsyn,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Ivanovich Osadchiy,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Ivanovich Vasiliev,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Nikolay Kudryavtsev,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Nikolay Mikhaylovich Kharitonov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Mikhaylovich Shcheglov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Nikolayevich Ivanov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Nikolayevich Vladimirov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Nikolay Nikolayevich Yezersky,✅,✅,✅,✅,✅,❌,✅,Individual,,,
Nikolay Petrovich Burlyayev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Petrovich Nikolaev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Petrovich Tokarev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Robertovich Buduyev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Sergeyevich Valuev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Nikolay Terentievich Shamalov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Timofeevich Velikdan,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Nikolay Valentinovich Andrianov,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Nikolay Vaselyevich Bogdanovsky,❌,✅,❌,❌,✅,✅,❌,Individual,,,
Nikolay Vasilievich Kolomeitsev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Vasilyev,❌,❌,❌,✅,❌,✅,✅,Individual,,,
Nikolay Vasilyevich Arefyev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Nikolay Viacheslavovich Rastorguev,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Nikolay Vladimirovich Novichkov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Nikolay Yerzersky,❌,❌,❌,❌,❌,✅,❌,Individual,,,
Nikolay Yuryevich Kozachek,✅,❌,❌,❌,❌,❌,❌,Individual,,,
